rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,CSTX,St. Xavier,Cincinnati,OH,"39.208760, -84.504478",1:31.10,"25.36,23.21,21.51,21.02;T. Charles,J. Ellerman,M. Ward,L. Bien",,
2,A,,COSC,St. Charles,Columbus,OH,"39.969651, -82.947449",1:31.20,"23.84,24.35,22.62,20.39;W. Julian,A. Carpenter,A. Zarick,J. Lloyd",,Preparatory School
3,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:31.65,"23.22,25.65,22.41,20.37;C. Blamer,O. Hulse,G. Miller,A. Rucker",,
4,A,,CLSI,St. Ignatius,Cleveland,OH,"41.482987, -81.706840",1:32.49,"23.57,25.26,22.46,21.20;J. Hong,J. Banks,C. Fitzgerald,L. Murtha",,
5,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",1:32.73,"24.59,24.68,21.80,21.66;D. Ham,L. Vickers,E. Herring,H. Nist",,
6,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:33.29,"24.29,25.78,21.97,21.25;N. Rumburg,M. Miller,M. Gaier,C. Williams",,
7,A,,HRO,Ross,Hamilton,OH,"39.329713, -84.635037",1:33.77,"23.95,25.04,22.99,21.79;C. Burt,C. Bennett,L. Mignery,C. Norton",,
8,A,,TSFD,St. Francis de Sales,Toledo,OH,"41.662272, -83.599113",1:33.87,"24.39,25.74,22.59,21.15;C. Carrubba,Y. Akhras,J. Cheatwood,M. Buff",,
9,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:34.21,"23.99,26.23,22.71,21.28;M. Waechter,E. Tu,E. Fang,A. Jansen",,
10,A,,CAMO,Archbishop Moeller,Cincinnati,OH,"39.220253, -84.358455",1:34.27,"23.57,26.31,22.78,21.61;R. Hicks,E. Preissler,J. Karulf,N. Spivery",,
11,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",1:34.30,"24.42,26.54,22.19,21.15;C. Tinsley,T. Cukovecki,W. Ballard,S. Broaddrick",,
12,A,,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",1:34.66,"24.35,26.25,22.85,21.21;A. Braun,N. Dunhac,C. Manning,A. Drachuk",,
13,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:35.14,"24.93,24.63,23.50,22.08;A. Luczywo,A. Gallagher,K. Abke,N. Bartlett",,
14,A,,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",1:35.99,"24.88,25.56,23.76,21.79;B. Nadur,C. Frazier,L. Donovan,D. Shaw",,
15,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",1:36.09,"24.71,26.75,22.94,21.69;S. Kissling,W. Barnes,L. Ament,C. Florence",,
16,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:36.11,"24.16,27.03,23.41,21.51;O. Kunstmann,S. Le,J. Emerman,C. Pirkle",,
17,A,,PICN,Pickerington North,Pickerington,OH,"39.908903, -82.733425",1:36.32,"25.49,26.30,22.76,21.77;C. McCluskey,J. Schwartz,E. Mumma,E. Bush",,
18,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:37.69,"25.26,27.14,23.52,21.77;Z. Mihok,B. Herrmann,L. Mitchell,M. Amendol",,
19,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:37.80,"23.68,27.90,24.05,22.17;P. Helmuth,J. Katigbak,X. Allshouse,C. Black",,
20,A,,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",1:37.98,"24.28,28.36,23.52,21.82;J. Riegler,B. Couch,C. Farbizo,E. Riegler",,
21,A,,LCO,Olentangy,Lewis Center,OH,"40.205092, -83.020650",1:38.13,"25.58,27.35,23.44,21.76;M. Sagle,M. Stottmann,O. Thomas,A. Lee",,
22,A,,SOL,Solon,Solon,OH,"41.377670, -81.441060",1:38.71,"24.20,28.01,25.22,21.28;D. Yagour,J. Wang,Z. Han,G. Libecco",,
23,A,,MED,Medina,Medina,OH,"41.144765, -81.850433",1:39.20,"25.67,26.49,23.90,23.14;B. Ryba,Z. Marinis,K. Morford,A. Thomas",,
24,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",1:39.98,"26.58,27.13,24.25,22.02;S. Salazar,L. Boucher,C. Udell,A. McMillan",,
