rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",3:25.79,"24.93,26.38,24.82,27.33,24.24,26.42,24.33,27.34;M. Leonard,Z. Musselman,L. Grether,O. Matson",,
2,A,,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",3:27.83,"25.63,27.85,24.90,27.21,24.91,28.19,23.29,25.85;G. Schneider,K. Kollin,E. Bowman,E. Brown",,
3,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",3:28.80,"25.54,27.57,24.45,27.22,25.51,27.79,24.20,26.52;H. Schimming,A. Morr,M. Gregory,C. Meeting",,
4,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",3:30.07,"25.01,27.48,23.85,27.29,25.79,28.35,24.81,27.49;A. Mumaw,L. Oliphant,E. Campbell,A. Snider",,
5,A,,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",3:30.42,"25.50,27.54,24.66,28.11,24.96,27.70,24.57,27.38;C. Payton,A. Briseno,S. Brofford,M. Belli",,
6,A,,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",3:31.57,"26.09,28.07,25.10,27.98,25.10,27.73,24.76,26.74;N. Gockerman,C. Lied,S. Herr,A. Robillard",,Academy
7,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",3:32.60,"25.95,28.27,25.23,28.48,25.04,27.61,24.70,27.32;A. Sawicki,N. Brindley,M. Dezelic,C. Caniglia",,
8,A,,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",3:32.65,"25.58,27.05,25.87,27.93,25.81,28.23,24.73,27.45;G. Gordon,C. Meara,A. Uhlman,M. Eckman",,Academy
9,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",3:32.87,"26.04,28.22,25.54,28.36,25.36,27.55,24.97,26.83;A. Fetsko,A. Carosielli,M. Lochridge,A. Nixon",,
10,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",3:32.91,"25.65,28.24,24.72,27.75,25.80,27.96,25.44,27.35;O. Studenka,L. Roberts,L. Blankenship,A. Sutphin",,
11,A,,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",3:32.93,"26.52,28.81,24.89,27.92,25.96,27.91,24.15,26.77;B. Pichola,C. Mathewson,T. Devorace,G. Miller",,
12,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",3:33.04,"25.37,26.76,25.92,28.73,24.66,27.69,25.50,28.41;F. Rudowski,A. Bender,M. Schweikert,M. Schweikert",,
13,A,,GGR,Green,Uniontown,OH,"40.957684, -81.473300",3:33.30,"25.62,28.37,25.95,28.25,25.48,28.59,24.17,26.87;S. Peterson,L. Swartzwelder,O. Scheibelhoffer,O. Elgin",,
14,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",3:33.97,"26.03,28.04,25.20,27.65,25.94,28.22,24.91,27.98;D. Fairbanks,I. Teply,A. Althouse,C. Wall",,
15,A,,AFI,Firestone,Akron,OH,"41.118939, -81.564683",3:35.43,"25.89,28.10,26.13,29.31,25.32,27.41,25.21,28.06;E. Nixon,A. Sevald,T. Brilmyer,J. Quernemoen",,
16,A,,WAW,Anthony Wayne,Whitehouse,OH,"41.532495, -83.779770",3:37.08,"26.16,29.14,25.97,28.44,26.11,29.41,24.50,27.35;A. Blakely,K. Hildebrand,C. Hildebrand,A. Barasch",,
17,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",3:37.96,"25.77,28.18,26.63,30.12,25.62,29.29,24.60,27.75;A. Manofsky,A. Ham,A. Lewis,N. Shulik",,
18,A,,SHT,Shaker Heights,Shaker Heights,OH,"41.473276, -81.568492",3:39.24,"25.70,28.44,26.12,28.61,26.27,29.19,25.84,29.07;K. Miklos,A. Kuhel,D. Murlin,A. Rosenbaum",,
19,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",3:39.73,"25.37,27.39,26.33,30.02,26.22,28.82,25.87,29.71;S. Antonetz,M. Bower,C. Helm,S. Whitham",,
20,A,,SOL,Solon,Solon,OH,"41.377670, -81.441060",3:40.23,"26.05,28.67,26.22,28.73,26.49,29.76,26.31,28.00;N. Fried,K. Molyneaux,A. Shaker,G. Perlberg",,
21,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",3:40.47,"25.60,27.90,26.95,29.93,26.46,30.19,25.17,28.27;C. Kien,K. McCafferty,S. Narayanan,A. Gearhart",,
22,A,,AVO,Avon,Avon,OH,"41.444579, -82.037907",3:40.66,"26.06,28.63,25.68,28.75,25.91,29.43,26.40,29.80;M. Mackay,E. Molenaar,V. Siftar,R. Swope",,
23,A,,LCOR,Olentangy Orange,Lewis Center,OH,"40.171851, -82.978987",3:40.86,"27.77,29.20,25.92,28.40,27.12,29.35,25.36,27.74;M. Muth,L. Moorhead,E. Longhouse,M. Boccio",,
24,A,,DHA,Hayes,Delaware,OH,"40.310505, -83.080234",3:41.85,"26.30,28.86,20.40,36.19,26.23,29.85,25.25,28.77;A. Sallows,A. Lance,M. Saksa,M. Carter",,
