rk,nm,gr,sc,sh,shx,ct,st,ll,ti,mt,auto
1,A,,COSC,St. Charles,Preparatory School,Columbus,OH,"39.969651, -82.947449",1:23.47,central25,yes
2,A,,MIL,Milford,,Milford,OH,"39.179768, -84.241069",1:24.25,swdistrict25,yes
3,A,,CSTX,St. Xavier,,Cincinnati,OH,"39.208760, -84.504478",1:24.35,swdistrict25,yes
4,A,,CLSI,St. Ignatius,,Cleveland,OH,"41.482987, -81.706840",1:24.47,nwdistrict25,yes
5,A,,MAS,Mason,,Mason,OH,"39.351367, -84.306013",1:25.71,swdistrict25,
6,A,,CAMO,Archbishop Moeller,,Cincinnati,OH,"39.220253, -84.358455",1:25.95,swdistrict25,
7,A,,UPA,Upper Arlington,,Upper Arlington,OH,"40.015311, -83.054726",1:26.88,central25,yes
8,A,,TSFD,St. Francis de Sales,,Toledo,OH,"41.662272, -83.599113",1:26.88,nwdistrict25,yes
9,A,,WOO,Wooster,,Wooster,OH,"40.837444, -81.946493",1:26.89,nedistrict25,yes
10,A,,LCO,Olentangy,,Lewis Center,OH,"40.205092, -83.020650",1:27.26,central25,
11,A,,VANB,Butler,,Vandalia,OH,"39.885121, -84.197325",1:27.30,swdistrict25,
12,A,,CIWH,Walnut Hills,,Cincinnati,OH,"39.140488, -84.480216",1:27.45,swdistrict25,
13,A,,LTLE,Lakota East,,Liberty Township,OH,"39.379273, -84.371020",1:27.59,swdistrict25,
14,A,,WAW,Anthony Wayne,,Whitehouse,OH,"41.532495, -83.779770",1:27.66,nwdistrict25,
15,A,,MJA,Jackson,,Massillon,OH,"40.859154, -81.491430",1:27.73,nedistrict25,yes
16,A,,POL,Olentangy Liberty,,Powell,OH,"40.197868, -83.098903",1:27.89,central25,
17,A,,CIE,Elder,,Cincinnati,OH,"39.112117, -84.580179",1:28.21,swdistrict25,
18,A,,NCH,Hoover,,North Canton,OH,"40.885368, -81.394707",1:28.23,nedistrict25,
19,A,,NAL,New Albany,,New Albany,OH,"40.084160, -82.815574",1:28.64,central25,
20,A,,SOL,Solon,,Solon,OH,"41.377670, -81.441060",1:28.92,nedistrict25,
21,A,,DJER,Dublin Jerome,,Dublin,OH,"40.133757, -83.177420",1:29.02,central25,
22,A,,DHA,Hayes,,Delaware,OH,"40.310505, -83.080234",1:29.09,central25,
23,A,,WTW,Thomas Worthington,,Worthington,OH,"40.090509, -83.025051",1:29.32,central25,
24,A,,CEN,Centerville,,Centerville,OH,"39.626987, -84.148198",1:29.32,swdistrict25,
25,A,,MED,Medina,,Medina,OH,"41.144765, -81.850433",1:29.41,nwdistrict25,
26,A,,PICN,Pickerington North,,Pickerington,OH,"39.908903, -82.733425",1:29.70,central25,
27,A,,MARY,Marysville,,Marysville,OH,"40.250365, -83.381003",1:29.76,central25,
28,A,,LSE,St. Edward,,Lakewood,OH,"41.485780, -81.784512",1:29.82,nwdistrict25,
29,A,,YBO,Boardman,,Youngstown,OH,"41.011154, -80.668442",1:29.93,nedistrict25,
30,A,,SPR,Springboro,,Springboro,OH,"39.532708, -84.240096",1:30.23,swdistrict25,
31,A,,HUD,Hudson,,Hudson,OH,"41.256797, -81.413904",1:30.49,nedistrict25,
32,A,,BELB,Bellbrook,,Bellbrook,OH,"39.652774, -84.067779",1:30.65,swdistrict25,
33,A,,CGL,Glenoak,,Canton,OH,"40.869041, -81.350629",1:30.72,nedistrict25,
34,A,,FRO,Fremont Ross,,Fremont,OH,"41.362541, -83.123975",1:30.80,nwdistrict25,
35,A,,MAY,Mayfield,,Mayfield Village,OH,"41.536528, -81.459515",1:30.81,nedistrict25,
36,A,,PICC,Pickerington Central,,Pickerington,OH,"39.876358, -82.755310",1:31.07,central25,
37,A,,STRG,Strongsville,,Strongsville,OH,"41.303367, -81.845993",1:31.19,nwdistrict25,
38,A,,DCO,Dublin Coffman,,Dublin,OH,"40.107364, -83.130928",1:31.20,central25,
39,A,,MEN,Mentor,,Mentor,OH,"41.694749, -81.336990",1:31.34,nedistrict25,
40,A,,WCLW,Lakota West,,West Chester,OH,"39.330294, -84.431138",1:31.85,swdistrict25,
41,A,,GLI,Gahanna Lincoln,,Gahanna,OH,"40.016451, -82.865533",1:31.86,central25,
42,A,,CSYC,Sycamore,,Cincinnati,OH,"39.267037, -84.352090",1:31.86,swdistrict25,
43,A,,COH,Oak Hills,,Cincinnati,OH,"39.146768, -84.648598",1:32.07,swdistrict25,
44,A,,NPH,New Philadelphia,,New Philadelphia,OH,"40.494380, -81.450237",1:32.14,nedistrict25,
45,A,,MLMI,Little Miami,,Morrow,OH,"39.356626, -84.159580",1:32.49,swdistrict25,
