rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,CSTX,St. Xavier,Cincinnati,OH,"39.208760, -84.504478",1:31.45,"23.68,25.32,21.62,20.83;C. Dillon,J. Ellerman,M. Ward,A. Wade",,
2,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:32.38,"23.97,24.28,23.00,21.13;C. Pabst,G. Gooding,A. Rucker,J. Miller",,
3,A,,TSFD,St. Francis de Sales,Toledo,OH,"41.662272, -83.599113",1:33.09,"24.62,26.76,20.23,21.48;M. Buff,Y. Akhras,S. Buff,J. Cheatwood",,
4,A,,COSC,St. Charles,Columbus,OH,"39.969651, -82.947449",1:33.78,"24.19,25.03,23.14,21.42;W. Julian,A. Carpenter,A. Zarick,J. Keller",,Preparatory School
5,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",1:33.80,"24.45,25.12,22.29,21.94;D. Ham,L. Vickers,E. Herring,H. Nist",,
6,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:33.94,"22.10,26.94,24.04,20.86;H. Williams,M. Miller,K. McCauley,A. Gaier",,
7,A,,CLSI,St. Ignatius,Cleveland,OH,"41.482987, -81.706840",1:34.43,"23.71,25.92,23.17,21.63;J. Toothman,J. Banks,C. Fitzgerald,M. Santoro",,
8,A,,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",1:34.74,"24.33,26.21,23.30,20.90;A. Braun,N. Dunhac,R. Ju,L. Sullivan",,
9,A,,MED,Medina,Medina,OH,"41.144765, -81.850433",1:35.54,"23.23,26.82,23.58,21.91;B. Morford,Z. Marinis,K. Morford,J. Kupec",,
10,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",1:35.77,"23.37,27.63,22.97,21.80;M. Fralic,W. Barnes,C. Florence,L. Ament",,
11,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:36.21,"24.61,26.93,23.07,21.60;M. Waechter,E. Tu,E. Fang,C. Scheidler",,
12,A,,CAMO,Archbishop Moeller,Cincinnati,OH,"39.220253, -84.358455",1:36.25,"24.19,27.07,22.98,22.01;R. Hicks,N. Donnell,R. Karulf,S. Schoelwer",,
13,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:36.43,"24.70,25.42,23.47,22.84;D. Cellar,A. Lu,A. Wu,C. Ranc",,
14,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",1:36.60,"23.45,27.20,24.10,21.85;W. Meyers,R. Platt,C. Burke,M. Bonfils",,
15,A,,HRO,Ross,Hamilton,OH,"39.329713, -84.635037",1:37.05,"24.15,26.76,23.69,22.45;C. Burt,C. Bennett,L. Mignery,C. Norton",,
16,A,,STRG,Strongsville,Strongsville,OH,"41.303367, -81.845993",1:37.37,"25.31,25.91,24.60,21.55;G. Painter,N. Begany,G. Griffiths,C. Mayberry",,
17,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:37.41,"24.66,27.96,23.06,21.73;V. Cappabianca,A. Luczywo,A. Ketler,R. Sawicki",,
18,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",1:37.46,"25.03,27.79,23.19,21.45;M. Fleisher,N. Calabrese,J. Jauch,B. Pianki",,
19,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:37.69,"24.69,27.28,23.97,21.75;O. Kunstmann,S. Le,J. Emerman,C. Pirkle",,
20,A,,ALA,Avon Lake,Avon Lake,OH,"41.508504, -82.017464",1:38.49,"22.63,28.71,24.74,22.41;J. Swain,T. Grabowski,L. King,N. Haven",,
21,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:38.88,"23.43,28.85,24.57,22.03;P. Helmuth,J. Katigbak,X. Allshouse,C. Black",,
22,A,,SOL,Solon,Solon,OH,"41.377670, -81.441060",1:39.06,"24.76,29.18,23.88,21.24;D. Yagour,J. Wang,L. Solonche,G. Libecco",,
23,A,,PERB,Perrysburg,Perrysburg,OH,"41.519172, -83.653030",1:39.66,"24.96,28.22,24.13,22.35;S. Green,S. Merriman,J. Majerus,E. Fisher",,
--,A,,PICN,Pickerington North,Pickerington,OH,"39.908903, -82.733425",DQ,"24.96,26.33,23.09,NT;J. Schwartz,M. Schwartz,B. Hopkins,E. Mumma",,
