rk,nm,gr,sc,sh,ct,st,ll,ti,mt,auto,shx
1,A,,HRO,Ross,Hamilton,OH,"39.329713, -84.635037",3:10.05,swdistrict25,yes,
2,A,,HVUS,University School,Hunting Valley,OH,"41.485518, -81.427641",3:10.95,nedistrict25,yes,nhs
3,A,,CIIH,Indian Hill,Cincinnati,OH,"39.186177, -84.347006",3:11.09,swdistrict25,yes,
4,A,,MLC,Lake Catholic,Mentor,OH,"41.688021, -81.375817",3:12.23,nedistrict25,yes,
5,A,,ONT,Ontario,Ontario,OH,"40.764612, -82.647690",3:12.96,nwdistrict25,yes,
6,A,,OHA,Oak Harbor,Oak Harbor,OH,"41.514006, -83.156594",3:16.48,nwdistrict25,yes,
7,A,,PPO,Orange,Pepper Pike,OH,"41.458036, -81.454526",3:17.07,nedistrict25,,
8,A,,BEA,Beachwood,Beachwood,OH,"41.484048, -81.501324",3:17.43,nedistrict25,,
9,A,,LEX,Lexington,Lexington,OH,"40.672877, -82.586867",3:18.57,nwdistrict25,,
10,A,,GCA,Columbus Academy,Gahanna,OH,"40.049132, -82.874035",3:18.59,central25,yes,nhs
11,A,,BVB,Bay,Bay Village,OH,"41.486992, -81.943391",3:19.78,nedistrict25,,
12,A,,GRA,Granville,Granville,OH,"40.078761, -82.527668",3:20.03,central25,yes,
13,A,,CFA,Chagrin Falls,Chagrin Falls,OH,"41.426720, -81.379278",3:20.12,nedistrict25,,
14,A,,CWYO,Wyoming,Cincinnati,OH,"39.233295, -84.470133",3:20.41,swdistrict25,,
15,A,,COTW,The Wellington School,Columbus,OH,"40.031251, -83.064231",3:20.99,central25,,nhs
16,A,,TPA,Athens,The Plains,OH,"39.372428, -82.128025",3:22.68,central25,,
17,A,,DOA,Oakwood,Dayton,OH,"39.720838, -84.171489",3:22.68,swdistrict25,,
18,A,,PTCL,Port Clinton,Port Clinton,OH,"41.503497, -82.937835",3:23.77,nwdistrict25,,
19,A,,LSH,Shawnee,Lima,OH,"40.692716, -84.167619",3:23.77,nwdistrict25,,
20,A,,CHA,Chardon,Chardon,OH,"41.591271, -81.200412",3:24.02,nedistrict25,,
21,A,,COGH,Grandview Heights,Columbus,OH,"39.984467, -83.048483",3:24.16,central25,,
22,A,,TOH,Ottawa Hills,Ottawa Hills,OH,"41.669832, -83.631424",3:24.36,nwdistrict25,,
23,A,,HUR,Huron,Huron,OH,"41.397835, -82.564695",3:24.95,nwdistrict25,,
24,A,,CMAD,Madeira,Cincinnati,OH,"39.201309, -84.365563",3:25.23,swdistrict25,,
25,A,,WAU,Wauseon,Wauseon,OH,"41.553403, -84.127931",3:25.56,nwdistrict25,,
26,A,,PER,Perry,Perry,OH,"41.773352, -81.140964",3:25.94,nedistrict25,,
27,A,,BRY,Bryan,Bryan,OH,"41.457279, -84.568132",3:26.19,nwdistrict25,,
28,A,,DTV,Tri-Valley,Dresden,OH,"40.120914, -82.004689",3:26.26,central25,,
