rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,CSTX,St. Xavier,Cincinnati,OH,"39.208760, -84.504478",1:22.68,"20.48,20.68,21.06,20.46;M. Ward,K. Silvestain,L. Eckert,A. Ingram",,
2,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:24.06,"21.93,21.36,20.94,19.83;C. Williams,M. Miller,A. Gaier,H. Williams",,
3,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:24.30,"20.70,21.46,20.90,21.24;G. Gooding,J. Miller,C. Blamer,J. Rabadam",,
4,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:24.34,"21.33,21.19,20.42,21.40;L. Dauer,A. Lu,D. Sherrer,N. Leonard",,
5,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:24.81,"21.79,21.07,21.44,20.51;M. Knettler,K. Elkovitch,B. Lachey,J. Smith",,
6,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:25.85,"20.92,21.46,21.35,22.12;M. Plumley,T. Houpt,C. Scheidler,E. Tu",,
7,A,,AFI,Firestone,Akron,OH,"41.118939, -81.564683",1:26.27,"20.33,22.57,22.08,21.29;J. Marshall,N. Michael,M. Brady,S. Niekamp",,
8,A,,CLSI,St. Ignatius,Cleveland,OH,"41.482987, -81.706840",1:26.33,"21.12,21.54,22.37,21.30;T. Williams,L. Murtha,I. Chernisky,M. Santoro",,
9,A,,MED,Medina,Medina,OH,"41.144765, -81.850433",1:26.59,"21.07,21.90,22.12,21.50;B. Morford,K. Morford,Z. Marinis,J. Kupec",,
10,A,,PICN,Pickerington North,Pickerington,OH,"39.908903, -82.733425",1:26.85,"22.24,21.72,21.24,21.65;E. Mumma,E. Bush,M. Schwartz,C. McCluskey",,
11,A,,CIE,Elder,Cincinnati,OH,"39.112117, -84.580179",1:26.87,"21.17,22.00,22.40,21.30;M. Brunner,R. Willig,B. Ohmer,R. Cittadino",,
12,A,,GGR,Green,Uniontown,OH,"40.957684, -81.473300",1:27.02,"21.93,22.68,21.15,21.26;R. Sumption,S. McMillen,C. Carr,C. Doerrer",,
13,A,,COSC,St. Charles,Columbus,OH,"39.969651, -82.947449",1:27.28,"22.12,21.82,21.83,21.51;A. Zarick,B. King,J. Lloyd,J. Keller",,Preparatory School
14,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",1:27.89,"22.53,22.04,21.76,21.56;T. Cukovecki,W. Ballard,S. Broaddrick,C. Tinsley",,
15,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",1:27.94,"21.86,22.60,21.87,21.61;A. Dordea,C. Kauffman,L. Boucher,G. Kilmer",,
16,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",1:28.03,"21.23,22.57,22.03,22.20;Z. Barnes,W. Barnes,L. Ament,C. Florence",,
17,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",1:28.04,"22.46,22.50,22.44,20.64;O. Madison,M. Dillon,J. Baker,C. Craft",,
18,A,,LTLE,Lakota East,Liberty Township,OH,"39.379273, -84.371020",1:28.26,"23.02,21.86,22.17,21.21;A. Gomez,B. Fuller,A. Walter,X. Williams",,
19,A,,CGL,Glenoak,Canton,OH,"40.869041, -81.350629",1:28.33,"22.55,21.78,22.76,21.24;B. Maurer,L. Studer,M. Calvert,J. Harms",,
20,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:28.35,"22.42,21.61,22.12,22.20;A. Ketler,R. Sawicki,V. Cappabianca,R. Szabo",,
21,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",1:28.45,"22.17,22.05,22.28,21.95;M. Bonfils,C. Burke,H. Meyers,P. Schmelzer",,
22,A,,MIL,Milford,Milford,OH,"39.179768, -84.241069",1:28.46,"22.62,22.03,22.18,21.63;L. Crum,P. Menker,C. Barclay,E. Fentress",,
23,A,,ALA,Avon Lake,Avon Lake,OH,"41.508504, -82.017464",1:28.54,"21.08,22.40,23.16,21.90;J. Swain,Q. Kroneker,N. Buck,N. Haven",,
24,A,,STRG,Strongsville,Strongsville,OH,"41.303367, -81.845993",1:29.01,"22.05,21.81,22.19,22.96;N. Begany,C. Mayberry,G. Painter,O. Weiss",,
25,A,,TSFD,St. Francis de Sales,Toledo,OH,"41.662272, -83.599113",1:30.89,"23.03,22.39,22.72,22.75;B. Sanchez,P. Majerski,K. Fulton,O. Lazenby",,
