rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,CSTX,St. Xavier,Cincinnati,OH,"39.208760, -84.504478",1:22.31,"20.39,20.27,20.68,20.97;T. McMullan,M. Ward,C. Grisi,A. Ingram",,
2,A,,COSC,St. Charles,Columbus,OH,"39.969651, -82.947449",1:22.48,"20.13,20.14,21.09,21.12;A. Carpenter,J. Lloyd,A. Zarick,B. King",,Preparatory School
3,A,,CLSI,St. Ignatius,Cleveland,OH,"41.482987, -81.706840",1:23.87,"20.34,21.27,21.93,20.33;J. Toothman,T. Johannessen,M. Santoro,T. Williams",,
4,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:24.24,"21.56,21.15,20.56,20.97;J. Rabadam,R. Caswell,A. Rucker,G. Neill",,
5,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:24.74,"21.02,21.59,21.14,20.99;M. Gaier,T. Sebenoler,N. Rumburg,M. Miller",,
6,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:24.80,"21.93,21.49,21.45,19.93;C. Pirkle,B. Lachey,O. Kunstmann,K. Elkovitch",,
7,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",1:25.33,"21.07,21.13,22.01,21.12;A. Dordea,L. Boucher,A. McMillan,G. Kilmer",,
8,A,,MIL,Milford,Milford,OH,"39.179768, -84.241069",1:26.19,"22.31,21.55,22.11,20.22;L. Crum,E. Fentress,C. Barclay,B. Campbell",,
9,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:26.83,"22.11,22.13,21.16,21.43;A. Jansen,E. Tu,Y. Ghobril,T. Houpt",,
10,A,,LCOR,Olentangy Orange,Lewis Center,OH,"40.171851, -82.978987",1:26.85,"21.12,21.99,21.82,21.92;B. Farren,C. Mahl,J. Deek,C. Dunn",,
11,A,,LTLE,Lakota East,Liberty Township,OH,"39.379273, -84.371020",1:27.02,"22.47,22.04,21.48,21.03;A. Nordmark,A. Gomez,X. Williams,B. Fuller",,
12,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",1:27.21,"22.59,21.89,21.87,20.86;E. Hoin,D. Medina,T. Cukovecki,S. Broaddrick",,
13,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",1:27.52,"22.21,22.19,21.58,21.54;M. Fleisher,E. Pianki,C. Purtee,W. Guerin",,
14,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:27.81,"22.61,21.79,21.97,21.44;B. Herrmann,M. Amendol,Z. Mihok,L. Mitchell",,
15,A,,PICN,Pickerington North,Pickerington,OH,"39.908903, -82.733425",1:27.88,"21.82,22.17,22.03,21.86;E. Mumma,J. Schwartz,E. Bush,C. McCluskey",,
16,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",1:28.02,"22.15,21.86,22.83,21.18;M. Bonfils,C. Burke,C. Menne,H. Meyers",,
17,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:28.05,"22.94,21.19,22.61,21.31;C. Carlisle,C. Ranc,A. Lutz,D. Cellar",,
18,A,,GGR,Green,Uniontown,OH,"40.957684, -81.473300",1:28.17,"22.88,22.63,21.79,20.87;A. Byers,R. Canter,S. McMillen,C. Doerrer",,
19,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:28.25,"22.09,22.10,22.10,21.96;A. Gallagher,A. Luczywo,K. Abke,N. Bartlett",,
20,A,,CAMO,Archbishop Moeller,Cincinnati,OH,"39.220253, -84.358455",1:28.36,"22.44,22.60,21.86,21.46;N. Spivery,J. Patterson,A. Held,E. Preissler",,
21,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",1:28.61,"22.69,22.65,22.09,21.18;P. Varatta,I. Greenlee,J. Baker,C. Craft",,
22,A,,TSFD,St. Francis de Sales,Toledo,OH,"41.662272, -83.599113",1:29.03,"22.30,22.36,22.12,22.25;B. Sanchez,P. Majerski,O. Lazenby,C. Howe",,
23,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:29.07,"22.78,22.23,22.40,21.66;M. Lewis,C. Black,R. Most,J. Katigbak",,
24,A,,FRO,Fremont Ross,Fremont,OH,"41.362541, -83.123975",1:29.64,"21.78,22.78,22.28,22.80;E. Beardmore,L. Garza,R. Rich,E. Haitonic",,
