rk,nm,gr,sc,sh,ct,st,ll,ti,mt,auto,shx
1,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",3:26.54,swdistrict25,yes,
2,A,,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",3:28.00,swdistrict25,yes,Academy
3,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",3:31.22,central25,yes,
4,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",3:31.71,central25,yes,
5,A,,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",3:33.92,central25,,
6,A,,LCOR,Olentangy Orange,Lewis Center,OH,"40.171851, -82.978987",3:34.24,central25,,
7,A,,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",3:35.10,swdistrict25,,Academy
8,A,,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",3:35.58,central25,,
9,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",3:36.83,nedistrict25,yes,
10,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",3:36.91,nedistrict25,yes,
11,A,,WKI,Worthington Kilbourne,Worthington,OH,"40.115217, -83.055895",3:37.26,central25,,
12,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",3:37.88,central25,,
13,A,,RRM,Magnificat,Rocky River,OH,"41.468468, -81.850298",3:38.19,nwdistrict25,yes,
14,A,,LOUI,Louisville,Louisville,OH,"40.829441, -81.252604",3:38.32,nedistrict25,,
15,A,,CSYC,Sycamore,Cincinnati,OH,"39.267037, -84.352090",3:38.73,swdistrict25,,
16,A,,MNO,Nordonia,Macedonia,OH,"41.301860, -81.510625",3:39.34,nedistrict25,,
17,A,,BRU,Brunswick,Brunswick,OH,"41.241619, -81.815475",3:39.56,nwdistrict25,yes,
18,A,,LTLE,Lakota East,Liberty Township,OH,"39.379273, -84.371020",3:39.64,swdistrict25,,
19,A,,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",3:39.64,swdistrict25,,
20,A,,PERB,Perrysburg,Perrysburg,OH,"41.519172, -83.653030",3:39.69,nwdistrict25,,
21,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",3:40.05,central25,,
22,A,,WAW,Anthony Wayne,Whitehouse,OH,"41.532495, -83.779770",3:40.05,nwdistrict25,,
23,A,,OTA,Talawanda,Oxford,OH,"39.489855, -84.732758",3:40.07,swdistrict25,,
24,A,,SHT,Shaker Heights,Shaker Heights,OH,"41.473276, -81.568492",3:40.10,nedistrict25,,
25,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",3:40.56,swdistrict25,,
26,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",3:40.71,swdistrict25,,
27,A,,SPR,Springboro,Springboro,OH,"39.532708, -84.240096",3:40.74,swdistrict25,,
28,A,,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",3:41.57,nwdistrict25,,
29,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",3:41.77,swdistrict25,,
30,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",3:42.84,nedistrict25,,
