rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,Kami Periat,Jr,PTCL,Port Clinton,Port Clinton,OH,"41.503497, -82.937835",23.48,;,,
1,Carrie Furbee,So,COGH,Grandview Heights,Columbus,OH,"39.984467, -83.048483",23.48,;,,
3,Tiana Mescher,Sr,VERS,Versailles,Versailles,OH,"40.213645, -84.486794",23.64,;,,
4,Mia Latimer,Sr,CMAR,Mariemont,Cincinnati,OH,"39.144829, -84.365077",23.67,;,,
5,Taplin Seelbach,Sr,SHHB,Hathaway Brown,Shaker Heights,OH,"41.481311, -81.541815",23.84,;,,School
6,Izzy Hanek,Sr,JAR,Jefferson Area,,OH,"41.730498, -80.780282",23.89,;,,
7,Olivia Morse,Sr,COSG,Columbus School for Girls,Columbus,OH,"39.968086, -82.938260",23.91,;,,nhs
8,Nina Newton,Fr,GMH,Hawken,Gates Mills,OH,"41.527105, -81.386570",23.97,;,,School
9,Addisyn Newman,Sr,LSH,Shawnee,Lima,OH,"40.692716, -84.167619",24.00,;,,
10,Hannah Hardin,Sr,GRA,Granville,Granville,OH,"40.078761, -82.527668",24.08,;,,
11,Angela Wyand,Jr,COTO,Tree of Life Christian,Columbus,OH,"40.04091749742095, -82.99071114800029",24.11,;,,
12,Hannah Nagel,So,NAP,Napoleon,Napoleon,OH,"41.390402, -84.147467",24.16,;,,
13,Caroline Ramirez,Jr,CICD,Cincinnati Country Day,Cincinnati,OH,"39.185750, -84.327596",24.20,;,,School
14,Nora Kunsman,Fr,BRY,Bryan,Bryan,OH,"41.457279, -84.568132",24.21,;,,
15,Olivia Lewis,So,GCA,Columbus Academy,Gahanna,OH,"40.049132, -82.874035",24.38,;,,nhs
16,Rylee Jackson,Fr,AAHO,Archbishop Hoban,Akron,OH,"41.062341, -81.496088",24.42,;,,
17,Marina Oria,Jr,CIIH,Indian Hill,Cincinnati,OH,"39.186177, -84.347006",24.42,;,,
18,Emily Kyre,So,KAAL,Archbishop Alter,Kettering,OH,"39.679947, -84.151675",24.45,;,,
19,Alison Vaulx,Jr,DBV,Buckeye Valley,Delaware,OH,"40.348814, -83.091635",24.51,;,,
20,Lily Epley,Jr,DOA,Oakwood,Dayton,OH,"39.720838, -84.171489",24.57,;,,
21,Teigen Fortkamp,Jr,FRE,Fort Recovery,Fort Recovery,OH,"40.412200, -84.774799",24.60,;,,
22,Oma Agwa,Fr,SHHB,Hathaway Brown,Shaker Heights,OH,"41.481311, -81.541815",24.65,;,,School
23,Claire Leroy,Sr,CMAD,Madeira,Cincinnati,OH,"39.201309, -84.365563",24.72,;,,
24,Corine Rieskamp,So,CTAY,Taylor,Cleves,OH,"39.170977, -84.751319",24.74,;,,
25,Asma Khan,Sr,GMH,Hawken,Gates Mills,OH,"41.527105, -81.386570",24.81,;,,School
26,Jayleigh Brown,So,SKR,Kenton Ridge,Springfield,OH,"39.986529, -83.762351",24.97,;,,
26,Carlie Oldfield,Sr,ADA,Ada,Ada,OH,"40.774727, -83.832852",24.97,;,,
28,Bree Shirkey,Jr,GMH,Hawken,Gates Mills,OH,"41.527105, -81.386570",25.01,;,,School
29,Danielle Knight,Sr,COSG,Columbus School for Girls,Columbus,OH,"39.968086, -82.938260",25.12,;,,nhs
30,Alayna Biehl,So,CAMA,Margaretta,Castalia,OH,"41.399284, -82.801295",25.18,;,,
31,Lacie Frech,Sr,GMGA,Gilmour Academy,Gates Mills,OH,"41.503717, -81.436852",25.20,;,,nhs
32,Alexandra Cannone,Sr,JNO,Northridge,Johnstown,OH,"40.187941, -82.607303",25.35,;,,
