rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,CIIH,Indian Hill,Cincinnati,OH,"39.186177, -84.347006",1:26.39,"20.05,21.00,22.60,22.74;J. Zhao,A. Velayutham,E. Bonniol,A. Ok",,
2,A,,MLC,Lake Catholic,Mentor,OH,"41.688021, -81.375817",1:27.17,"21.60,21.54,21.67,22.36;D. Bittner,O. Pesek,T. Perkovic,E. Ream",,
2,A,,ONT,Ontario,Ontario,OH,"40.764612, -82.647690",1:27.17,"22.23,22.23,21.98,20.73;E. Ruhe,L. Bernat,O. Walter,G. Trumpower",,
4,A,,HVUS,University School,Hunting Valley,OH,"41.485518, -81.427641",1:28.16,"21.98,21.63,22.17,22.38;Q. MacPhail,B. Perry,A. Stewart,N. Miller",,nhs
5,A,,GCA,Columbus Academy,Gahanna,OH,"40.049132, -82.874035",1:28.34,"22.64,22.47,22.42,20.81;W. Duan,E. Liu,M. Butnariu,A. Li",,nhs
6,A,,BEA,Beachwood,Beachwood,OH,"41.484048, -81.501324",1:28.43,"22.02,22.50,22.03,21.88;K. Zhang,B. Keyerleber,D. Fan,C. Elwell",,
7,A,,CWYO,Wyoming,Cincinnati,OH,"39.233295, -84.470133",1:28.67,"22.31,22.66,22.20,21.50;J. Calvert,W. Hogenesch,W. Spera,N. Fent",,
8,A,,RORV,Rocky River,Rocky River,OH,"41.473668, -81.851096",1:29.33,"22.17,22.20,22.71,22.25;M. Tabora,T. Roe,E. Linville,L. Nolan",,
9,A,,GMGA,Gilmour Academy,Gates Mills,OH,"41.503717, -81.436852",1:29.65,"21.67,22.28,22.85,22.85;P. Koerwitz,J. Cistone,C. Tietjen,A. Varanese",,nhs
10,A,,CSHU,Seven Hills,Cincinnati,OH,"39.166755, -84.402521",1:29.71,"22.09,24.56,21.68,21.38;D. Beyerbach,S. Garcia,C. McNerney,H. Stimson",,School
11,A,,PSE,Poland Seminary,Poland,OH,"41.004101, -80.591280",1:29.90,"22.43,23.19,22.25,22.03;S. Zura,G. Bettross,J. Bruba,I. Vandervort",,
12,A,,KRO,Roosevelt,Kent,OH,"41.168809, -81.355950",1:29.91,"22.35,22.36,23.59,21.61;K. Pyka,J. Puhalla,E. Bruner,A. Springer",,
13,A,,YUR,Ursuline,Youngstown,OH,"41.109849, -80.643130",1:30.14,"22.90,22.82,23.86,20.56;M. Lattanzio,L. Schmutz,J. Rock,A. Ward",,
14,A,,VWE,Van Wert,Van Wert,OH,"40.848872, -84.604743",1:30.18,"22.25,22.41,23.97,21.55;S. Houg,D. Laudick,O. Scott,R. Gamble",,
15,A,,PPO,Orange,Pepper Pike,OH,"41.458036, -81.454526",1:30.51,"22.78,22.03,23.75,21.95;M. Amato,G. Dovgan,N. Bustamante,S. Amato",,
16,A,,HUR,Huron,Huron,OH,"41.397835, -82.564695",1:30.76,"22.37,22.89,22.68,22.82;C. Schlessman,S. Allen,T. Murray,J. Lenczyk",,
17,A,,CMAR,Mariemont,Cincinnati,OH,"39.144829, -84.365077",1:31.46,"24.86,22.05,23.50,21.05;J. Pettifer,D. Noone,M. Moon,Q. Heis",,
18,A,,NRCC,Colonel Crawford,North Robinson,OH,"40.788253, -82.855703",1:31.83,"23.33,23.64,23.26,21.60;A. Heinle,I. Gonzales,P. Keller,L. Sutter",,
19,A,,OGL,Ottawa-Glandorf,Ottawa,OH,"41.029142, -84.045968",1:31.88,"22.88,23.96,22.86,22.18;A. Schroeder,G. Morman,P. McGraw,C. Steffen",,
20,A,,KAAL,Archbishop Alter,Kettering,OH,"39.679947, -84.151675",1:32.14,"22.30,22.20,24.71,22.93;N. Kyre,H. McCall,M. Bigby,H. Kaufman",,
21,A,,SMM,St. Marys Memorial,St. Marys,OH,"40.558323, -84.374242",1:32.30,"23.24,24.32,22.53,22.21;G. Luebke,A. Monroe,B. Triplett,K. Kleinschmit",,
22,A,,CBW,Bishop Watterson,Columbus,OH,"40.048986, -83.016282",1:32.38,"21.73,22.50,23.80,24.35;J. Rider,M. Ratliff,Z. Keyser,J. Rumburg",,
23,A,,CHA,Chardon,Chardon,OH,"41.591271, -81.200412",1:33.83,"23.68,23.20,22.79,24.16;J. Bennett,D. Greene,B. Marker,G. Schneider",,
24,A,,OHA,Oak Harbor,Oak Harbor,OH,"41.514006, -83.156594",1:33.97,"24.28,23.46,23.43,22.80;B. Neill,J. Fallgren,T. Johannsen,G. Stewart",,
