rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,CSTX,St. Xavier,Cincinnati,OH,"39.208760, -84.504478",3:03.33,"22.24,24.42,21.59,24.03,22.23,24.47,21.12,23.23;J. Ellerman,A. Ingram,L. Eckert,T. McMullan",,
2,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",3:04.91,"22.51,24.29,22.05,24.77,21.31,23.54,21.62,24.82;L. Dauer,A. Wu,D. Sherrer,N. Leonard",,
3,A,,TSFD,St. Francis de Sales,Toledo,OH,"41.662272, -83.599113",3:06.51,"23.03,24.55,22.54,25.15,22.79,25.74,20.17,22.54;M. Buff,J. Cheatwood,K. Fulton,S. Buff",,
4,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",3:07.25,"22.15,24.13,21.62,24.88,22.14,25.30,21.86,25.17;R. Caswell,G. Miller,J. Rabadam,A. Rucker",,
5,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",3:07.77,"22.99,24.79,22.32,25.11,22.97,24.79,21.09,23.71;A. Fox,E. Fang,T. Houpt,M. Plumley",,
6,A,,CLSI,St. Ignatius,Cleveland,OH,"41.482987, -81.706840",3:08.15,"22.18,24.15,22.59,25.07,22.68,25.42,21.67,24.39;J. Toothman,M. Santoro,A. McIntyre,T. Williams",,
7,A,,MJA,Jackson,Massillon,OH,"40.859154, -81.491430",3:08.51,"23.01,24.99,22.14,24.99,22.35,24.15,22.49,24.39;H. Nist,E. Herring,L. Vickers,D. Ham",,
8,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",3:08.70,"22.10,24.31,22.28,25.34,21.91,25.35,22.02,25.39;J. Smith,B. Lachey,M. Knettler,K. Elkovitch",,
9,A,,BVC,Beavercreek,Beavercreek,OH,"39.720416, -84.033778",3:10.18,"23.26,25.24,22.87,24.99,23.00,25.29,21.42,24.11;C. Manning,R. Ju,A. Braun,L. Sullivan",,
10,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",3:11.39,"22.72,24.88,22.03,25.05,21.98,24.45,23.41,26.87;M. Fralic,C. Florence,Z. Barnes,C. Florence",,
11,A,,COSC,St. Charles,Columbus,OH,"39.969651, -82.947449",3:11.42,"23.75,25.25,23.30,25.59,22.54,25.47,21.55,23.97;W. Julian,J. Lloyd,B. King,A. Carpenter",,Preparatory School
12,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",3:12.44,"22.92,24.51,22.74,26.48,22.83,25.17,22.58,25.21;A. Dordea,M. Buchholz,L. Boucher,G. Kilmer",,
13,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",3:12.62,"22.71,25.42,22.47,25.42,23.47,25.63,22.16,25.34;C. Williams,M. Gaier,J. Franz,N. Rumburg",,
14,A,,CSYC,Sycamore,Cincinnati,OH,"39.267037, -84.352090",3:12.82,"24.13,26.44,22.62,25.27,23.10,25.77,21.37,24.12;O. Courtney,J. Carmody,C. Preissler,B. Menchhofer",,
15,A,,LCOR,Olentangy Orange,Lewis Center,OH,"40.171851, -82.978987",3:13.12,"21.80,24.06,23.78,26.15,23.71,26.11,22.46,25.05;T. Lambert,C. Dunn,J. Deek,B. Farren",,
16,A,,CAMO,Archbishop Moeller,Cincinnati,OH,"39.220253, -84.358455",3:13.58,"22.97,24.74,22.75,26.14,22.89,25.06,23.32,25.71;R. Karulf,S. Schoelwer,J. Patterson,R. Hicks",,
17,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",3:13.67,"23.54,26.13,23.73,25.45,23.27,25.65,21.53,24.37;P. Varatta,O. Madison,M. Dillon,C. Craft",,
18,A,,AFI,Firestone,Akron,OH,"41.118939, -81.564683",3:13.73,"23.83,25.74,22.92,26.39,23.14,27.28,21.05,23.38;S. Niekamp,S. Kmet,M. Brady,J. Marshall",,
19,A,,CTUR,Turpin,Cincinnati,OH,"39.105629, -84.367366",3:13.94,"23.51,25.83,23.04,24.76,23.51,25.76,22.81,24.72;M. Bonfils,P. Schmelzer,H. Meyers,W. Meyers",,
20,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",3:14.28,"24.15,25.20,23.67,26.01,22.77,25.42,22.03,25.03;T. Cukovecki,W. Ballard,S. Broaddrick,C. Tinsley",,
21,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",3:14.81,"23.86,25.25,23.74,26.07,23.43,25.78,22.40,24.28;M. Fleisher,N. Smith,W. Guerin,B. Pianki",,
22,A,,PICN,Pickerington North,Pickerington,OH,"39.908903, -82.733425",3:15.27,"24.06,25.68,23.49,25.68,23.24,25.62,22.37,25.13;E. Bush,J. Schwartz,B. Hopkins,C. McCluskey",,
23,A,,CIE,Elder,Cincinnati,OH,"39.112117, -84.580179",3:15.52,"22.49,25.32,22.72,26.14,23.86,26.11,22.87,26.01;M. Brunner,R. Cittadino,C. Pressler,R. Willig",,
24,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",3:19.01,"23.34,26.57,23.14,26.81,22.84,25.87,23.98,26.46;K. Abke,N. Bartlett,R. Szabo,I. Reber",,
