rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:34.80,"24.44,23.41,24.35,22.60;A. Mumaw,R. Hollingsworth,K. Powers,H. Hollingsworth",,
2,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:36.47,"24.67,24.64,24.50,22.66;A. Erickson,C. Wall,A. Althouse,I. Teply",,
3,A,,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",1:36.78,"24.21,24.74,24.02,23.81;N. Smyth,C. Donovan,M. Eckman,G. Gordon",,Academy
4,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:37.14,"24.45,24.70,24.27,23.72;M. Lochridge,A. Scott,A. Helmuth,A. Carosielli",,
5,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:37.68,"25.10,24.46,24.57,23.55;T. Toler,S. Slagle,L. Goodman,M. Gregory",,
6,A,,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",1:37.81,"24.68,24.89,24.17,24.07;T. Shepherd,E. Thorsen,A. Buchanan,C. Lied",,Academy
7,A,,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",1:37.86,"25.02,24.11,23.84,24.89;O. Monk,A. Briseno,S. Braun,K. Reetz",,
8,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:38.17,"24.92,24.82,24.36,24.07;E. Leonard,A. Hviid,S. Visurakapalli,A. Thomas",,
9,A,,LCO,Olentangy,Lewis Center,OH,"40.205092, -83.020650",1:38.28,"23.75,25.65,25.81,23.07;B. Nagy,N. Sagle,O. Baker,A. Espy",,
10,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:38.50,"24.11,24.52,25.22,24.65;A. Taylor,P. Crnjak,A. Mihok,G. Dinapoli",,
11,A,,LOUI,Louisville,Louisville,OH,"40.829441, -81.252604",1:38.86,"25.49,24.29,24.57,24.51;A. Willett,L. Claugus,K. Kocher,K. Claugus",,
12,A,,RRM,Magnificat,Rocky River,OH,"41.468468, -81.850298",1:39.22,"24.75,25.38,25.04,24.05;B. Farrell,N. Drexler,M. Pisanelli,A. Taseff",,
13,A,,CSET,Seton,Cincinnati,OH,"39.112886, -84.578631",1:39.42,"25.27,25.54,24.32,24.29;J. Aull,H. Kallmeyer,C. Smitherman,M. Roos",,
14,A,,OTA,Talawanda,Oxford,OH,"39.489855, -84.732758",1:39.63,"24.70,24.87,26.34,23.72;A. Gregg,M. Sparks,C. Offenburger,A. Curry",,
15,A,,WTW,Thomas Worthington,Worthington,OH,"40.090509, -83.025051",1:39.74,"25.16,24.80,25.80,23.98;E. Hunt,N. Holub,L. Wolfe,S. Whitham",,
16,A,,WCLW,Lakota West,West Chester,OH,"39.330294, -84.431138",1:39.96,"25.70,25.31,24.88,24.07;B. Lightner,P. Lee,J. Spetz,C. Spetz",,
17,A,,MPE,Perry,Massillon,OH,"40.789187, -81.462916",1:40.10,"23.44,25.25,26.07,25.34;S. Baker,L. Bracken,A. Becherer,S. Schuld",,
18,A,,MNO,Nordonia,Macedonia,OH,"41.301860, -81.510625",1:40.15,"24.72,25.75,26.00,23.68;H. Kaminski,A. Pohlmeyer,O. Seither,E. Yorkievitz",,
19,A,,PERB,Perrysburg,Perrysburg,OH,"41.519172, -83.653030",1:40.32,"25.16,25.89,25.28,23.99;C. Baxter,S. Randecker,C. Gerken,N. Sanders",,
20,A,,HUD,Hudson,Hudson,OH,"41.256797, -81.413904",1:40.45,"24.87,24.89,25.80,24.89;M. Drolshagen,A. Sawicki,N. Pavlik,S. Baylor",,
21,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",1:40.48,"25.65,24.82,25.08,24.93;L. Hershberger,M. Green,P. Udell,A. Gerber",,
22,A,,BRU,Brunswick,Brunswick,OH,"41.241619, -81.815475",1:40.49,"25.32,24.94,25.75,24.48;R. Sheets,A. Dragan,C. Parr,L. Richard",,
23,A,,POL,Olentangy Liberty,Powell,OH,"40.197868, -83.098903",1:40.89,"25.64,25.42,25.00,24.83;H. Kelly,T. McCoppin,E. Plunkett,L. Fogelman",,
24,A,,CSYC,Sycamore,Cincinnati,OH,"39.267037, -84.352090",1:41.49,"25.24,26.21,25.03,25.01;S. Finn,S. Prakash,E. Hardy,S. Swejkar",,
