rk,nm,gr,sc,sh,ct,st,ll,ti,sp,pt,shx
1,A,,UPA,Upper Arlington,Upper Arlington,OH,"40.015311, -83.054726",1:43.52,"26.34,30.41,23.81,22.96;A. Oliphant,L. Braun,H. Hollingsworth,M. Berg",,
2,A,,DJER,Dublin Jerome,Dublin,OH,"40.133757, -83.177420",1:44.26,"26.63,28.55,25.84,23.24;H. Randolph,M. Leonard,E. Bowman,O. Matson",,
3,A,,MAS,Mason,Mason,OH,"39.351367, -84.306013",1:46.30,"26.17,29.58,25.79,24.76;D. Fairbanks,A. Erickson,J. Gregory,C. Wall",,
4,A,,NCH,Hoover,North Canton,OH,"40.885368, -81.394707",1:46.42,"28.16,29.04,25.27,23.95;A. Scott,A. Helmuth,M. Lochridge,A. Carosielli",,
5,A,,CSUA,St. Ursula,Cincinnati,OH,"39.124710, -84.481598",1:46.45,"27.35,28.94,26.29,23.87;R. Kleinfelder,A. Buchanan,A. Sadri,T. Shepherd",,Academy
6,A,,GLI,Gahanna Lincoln,Gahanna,OH,"40.016451, -82.865533",1:46.83,"26.25,31.21,25.33,24.04;A. Briseno,O. Monk,A. Briseno,S. Braun",,
7,A,,CURA,Ursuline,Cincinnati,OH,"39.247894, -84.371321",1:47.07,"26.85,29.60,26.66,23.96;A. Uhlman,N. Smyth,T. Carmosino,C. Donovan",,Academy
8,A,,NAL,New Albany,New Albany,OH,"40.084160, -82.815574",1:47.12,"27.19,30.56,25.66,23.71;S. Slagle,T. Toler,L. Goodman,M. Gregory",,
9,A,,CSYC,Sycamore,Cincinnati,OH,"39.267037, -84.352090",1:47.46,"28.91,27.58,26.44,24.53;I. Benedicto,A. Robillard,E. Hardy,C. Fox",,
10,A,,CIWH,Walnut Hills,Cincinnati,OH,"39.140488, -84.480216",1:47.91,"27.95,28.35,26.19,25.42;M. McCracken,Q. Schureck,L. Sellinger,E. Hou",,
11,A,,LCOR,Olentangy Orange,Lewis Center,OH,"40.171851, -82.978987",1:47.98,"26.75,31.31,25.64,24.28;L. Moorhead,E. Longhouse,M. Boccio,N. Cameron",,
12,A,,YBO,Boardman,Youngstown,OH,"41.011154, -80.668442",1:48.06,"28.19,30.24,26.03,23.60;A. Murray,P. Crnjak,G. Dinapoli,A. Taylor",,
13,A,,KMK,Kings,Kings Mills,OH,"39.354352, -84.254955",1:48.09,"28.62,30.38,23.93,25.16;B. Hogan,M. Schoyck,M. Schweikert,B. Zistler",,
14,A,,DCO,Dublin Coffman,Dublin,OH,"40.107364, -83.130928",1:49.04,"26.97,30.11,27.55,24.41;J. Brown,A. Ehret,M. Zook,K. Kollin",,
15,A,,WCLW,Lakota West,West Chester,OH,"39.330294, -84.431138",1:49.10,"27.06,30.58,26.33,25.13;C. Spetz,B. Lightner,P. Lee,J. Spetz",,
16,A,,LCO,Olentangy,Lewis Center,OH,"40.205092, -83.020650",1:49.64,"26.27,32.80,24.96,25.61;A. Espy,L. Bruncak,B. Nagy,N. Sagle",,
17,A,,BGR,Bowling Green,Bowling Green,OH,"41.387166, -83.657431",1:49.91,"28.53,30.68,24.19,26.51;M. Desmond,A. Mahan,M. Buff,M. Desmond",,
18,A,,WKI,Worthington Kilbourne,Worthington,OH,"40.115217, -83.055895",1:50.39,"27.04,32.63,26.07,24.65;A. Goodrich,R. Majumdar,M. Richner,C. Fuller",,
19,A,,LTLE,Lakota East,Liberty Township,OH,"39.379273, -84.371020",1:50.56,"27.23,31.87,26.12,25.34;N. Fada,E. Witkowski,B. Bacher,J. Squibb",,
20,A,,CSET,Seton,Cincinnati,OH,"39.112886, -84.578631",1:50.97,"27.65,32.23,26.89,24.20;M. Roos,H. Kallmeyer,J. Aull,C. Smitherman",,
20,A,,CEN,Centerville,Centerville,OH,"39.626987, -84.148198",1:50.97,"27.86,31.09,26.15,25.87;T. Bole,S. Sperber,C. Kien,E. Patton",,
22,A,,LOUI,Louisville,Louisville,OH,"40.829441, -81.252604",1:51.04,"28.21,30.51,27.49,24.83;K. Kocher,A. Willett,L. Claugus,K. Claugus",,
23,A,,BRU,Brunswick,Brunswick,OH,"41.241619, -81.815475",1:51.48,"27.90,31.10,26.91,25.57;L. Richard,O. Hruschak,A. Dragan,L. Giacomazza",,
24,A,,WOO,Wooster,Wooster,OH,"40.837444, -81.946493",1:52.02,"29.52,29.72,27.52,25.26;E. Hansen,A. Gerber,L. Hershberger,P. Udell",,
